[Header]
Application Name	LabSolutions
Version	5.99
Data File Name	D:\shaun\Data\20220912\HLx-purified001.lcd
Output Date	26/09/2022
Output Time	17:22:17

[File Information]
Type	Data File
Generated	13/09/2022 18:10:05
Generated by	System Administrator
Modified	26/09/2022 17:21:11
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	13/09/2022 18:10:32
Sample Type	0:Unknown
Level	0
Sample Name	
Sample ID	
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	3
Injection Volume	5

[Original Files]
Data File	D:\shaun\Data\20220912\HLx-purified001.lcd
Method File	D:\shaun\Method\Analysis_05to80_60deg_200720.lcm
Batch File	D:\shaun\Batch\20220913.lcb
Report Format File	D:\shaun\Data\shaun-report.lsr

[File Description]


[Configuration]
Instrument Name	UPLC
Instrument #	2
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	2

[Peak Table(PDA-Ch1)]
# of Peaks	3
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.

1	9.982	9.936	10.064	1127927	410640	2.747	0.000	   M			0.000	284059	0.528	1.399	0.000	0.000	0	0	0.000	0.000
2	10.082	10.064	10.112	926	1693	0.547	0.000	   M			0.010	1054788	0.142	0.000	1.750	0.000	0	0	0.000	0.000
3	10.142	10.112	10.192	2093	2677	0.782	0.000	   M			0.016	711889	0.211	0.000	1.383	1.605	0	0	0.000	0.000

[Peak Table(PDA-Ch2)]
# of Peaks	114
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.

1	0.443	0.112	0.488	438997	40163	10.930	0.000	   			0.000	28	5453.914	0.560	0.000	0.000	0	0	0.000	0.000
2	0.625	0.488	0.656	641093	81099	7.905	0.000	   			0.411	94	1595.125	0.000	0.611	0.000	0	0	0.000	0.000
3	0.830	0.656	0.912	2086948	657167	3.176	0.000	 V 			0.876	4147	36.167	0.000	1.330	2.130	0	0	0.000	0.000
4	1.414	0.912	1.848	4528956	88739	51.037	0.000	   			2.195	19	7987.993	0.000	0.861	2.507	0	0	0.000	0.000
5	2.028	1.848	2.232	479161	22515	21.282	0.000	 V 			3.582	0	0.000	0.000	0.000	1.632	0	0	0.000	0.000
6	2.671	2.512	2.856	8756	871	10.050	0.000	   			5.034	1472	101.887	1.022	0.000	1.405	0	0	0.000	0.000
7	3.016	2.864	3.184	8068	632	12.761	0.000	   			5.813	97	1547.999	0.000	0.459	1.155	0	0	0.000	0.000
8	3.323	3.184	3.520	14893	1230	12.111	0.000	 V 			6.508	1461	102.656	0.000	0.391	1.119	0	0	0.000	0.000
9	3.632	3.520	3.752	5088	614	8.289	0.000	 V 			7.205	3886	38.605	0.000	1.063	1.107	0	0	0.000	0.000
10	3.881	3.752	3.992	9749	994	9.805	0.000	 V 			7.767	1972	76.079	0.000	0.855	1.078	0	0	0.000	0.000
11	4.032	3.992	4.160	3887	693	5.605	0.000	 V 			8.108	458	327.848	0.000	0.274	1.044	0	0	0.000	0.000
12	4.392	4.296	4.576	3810	351	10.852	0.000	   			8.922	3666	40.911	1.526	0.690	1.100	0	0	0.000	0.000
13	4.696	4.576	4.840	1497	152	9.878	0.000	 V 			9.608	13601	11.029	1.069	1.348	1.077	0	0	0.000	0.000
14	6.389	5.976	6.616	61561	3189	19.306	0.000	   			13.434	2311	64.900	0.770	4.890	1.398	0	0	0.000	0.000
15	6.829	6.624	6.968	24404	4345	5.616	0.000	   			14.428	71702	2.092	0.000	1.388	1.074	0	0	0.000	0.000
16	7.159	6.968	7.256	24239	1547	15.664	0.000	 V 			15.173	3989	37.599	0.000	1.188	1.052	0	0	0.000	0.000
17	7.336	7.256	7.384	9369	1469	6.379	0.000	 V 			15.573	6881	21.800	0.000	0.439	1.026	0	0	0.000	0.000
18	7.642	7.384	7.816	40435	3273	12.356	0.000	 V 			16.263	12917	11.613	0.000	0.981	1.044	0	0	0.000	0.000
19	8.000	7.816	8.072	7256	690	10.509	0.000	   			17.072	2601	57.670	0.000	0.800	1.050	0	0	0.000	0.000
20	8.132	8.072	8.184	4435	797	5.562	0.000	 V 			17.370	21614	6.940	0.000	0.311	1.017	0	0	0.000	0.000
21	8.240	8.184	8.304	3429	597	5.741	0.000	 V 			17.614	20391	7.356	0.000	0.478	1.014	0	0	0.000	0.000
22	8.429	8.304	8.504	8184	1319	6.206	0.000	 V 			18.041	69058	2.172	0.000	1.052	1.024	0	0	0.000	0.000
23	8.591	8.504	8.656	1674	357	4.685	0.000	   			18.408	56235	2.667	0.845	1.188	1.020	0	0	0.000	0.000
24	8.963	8.824	9.008	4681	919	5.092	0.000	   			19.247	72154	2.079	0.000	2.669	1.046	0	0	0.000	0.000
25	9.064	9.008	9.128	18754	5552	3.378	0.000	 V 			19.475	181777	0.825	0.000	0.923	1.012	0	0	0.000	0.000
26	9.359	9.128	9.400	144037	22370	6.439	0.000	 V 			20.142	48673	3.082	0.000	2.318	1.034	0	0	0.000	0.000
27	9.423	9.400	9.448	54848	21389	2.564	0.000	 V 			20.286	43561	3.443	0.000	0.364	1.007	0	0	0.000	0.000
28	9.541	9.448	9.608	254765	38172	6.674	0.000	 V 			20.553	25673	5.843	0.000	0.565	1.013	0	0	0.000	0.000
29	9.661	9.608	9.688	135538	32350	4.190	0.000	 V 			20.824	13443	11.158	0.000	0.419	1.013	0	0	0.000	0.000
30	9.833	9.688	9.864	463424	54358	8.525	0.000	 V 			21.213	10791	13.900	0.000	0.485	1.019	0	0	0.000	0.000
31	9.891	9.864	9.920	172594	56188	3.072	0.000	 V 			21.344	22607	6.635	0.000	0.180	1.006	0	0	0.000	0.000
32	9.984	9.920	11.488	6185783	1161790	5.324	0.000	SV 			21.554	144515	1.038	2.646	0.504	1.010	0	0	0.000	0.000
33	10.144	10.120	10.192	69578	38599	1.803	0.000	T  			21.915	539649	0.278	1.242	1.996	1.017	0	0	0.000	0.000
34	10.235	10.216	10.352	66617	12712	5.240	0.000	T  			22.120	123025	1.219	3.421	1.057	1.009	0	0	0.000	0.000
35	10.389	10.360	10.424	22924	7880	2.909	0.000	T  			22.469	37387	4.012	0.000	0.931	1.016	0	0	0.000	0.000
36	10.449	10.424	10.504	36384	14271	2.549	0.000	TV 			22.605	210270	0.713	0.000	0.394	1.006	0	0	0.000	0.000
37	10.615	10.584	10.672	19260	9020	2.135	0.000	T  			22.980	421305	0.356	1.221	2.119	1.017	0	0	0.000	0.000
38	10.896	10.872	10.944	1225	496	2.470	0.000	T  			23.614	323599	0.464	0.000	3.954	1.028	0	0	0.000	0.000
39	10.984	10.944	11.032	2198	609	3.609	0.000	TV 			23.813	139541	1.075	0.000	0.906	1.008	0	0	0.000	0.000
40	11.152	11.032	11.256	18071	1884	9.592	0.000	TV 			24.194	3369	44.530	0.000	0.380	1.016	0	0	0.000	0.000
41	11.328	11.256	11.376	17122	2549	6.716	0.000	TV 			24.590	0	0.000	0.000	0.000	1.016	0	0	0.000	0.000
42	11.436	11.376	11.488	33383	9973	3.347	0.000	TV 			24.835	237581	0.631	0.000	0.000	1.010	0	0	0.000	0.000
43	11.588	11.488	11.648	61641	15371	4.010	0.000	   			25.177	196361	0.764	0.756	1.528	1.014	0	0	0.000	0.000
44	11.777	11.648	11.824	45863	5845	7.846	0.000	   			25.604	34024	4.409	0.000	1.050	1.017	0	0	0.000	0.000
45	11.922	11.824	11.968	40147	4726	8.494	0.000	 V 			25.933	2138	70.160	0.000	0.226	1.013	0	0	0.000	0.000
46	12.010	11.968	12.040	20282	5094	3.981	0.000	 V 			26.132	18824	7.968	0.000	0.128	1.008	0	0	0.000	0.000
47	12.091	12.040	12.192	44034	7586	5.804	0.000	 V 			26.315	101691	1.475	0.000	0.323	1.007	0	0	0.000	0.000
48	12.251	12.192	12.304	24146	4419	5.464	0.000	 V 			26.675	42424	3.536	0.000	0.820	1.014	0	0	0.000	0.000
49	12.360	12.304	12.400	16415	2958	5.549	0.000	 V 			26.922	2720	55.157	0.000	0.184	1.009	0	0	0.000	0.000
50	12.448	12.400	12.528	21957	3008	7.300	0.000	 V 			27.120	2845	52.727	0.000	0.094	1.007	0	0	0.000	0.000
51	12.592	12.528	12.664	21840	2836	7.700	0.000	 V 			27.446	1723	87.078	0.000	0.134	1.012	0	0	0.000	0.000
52	12.731	12.664	12.832	25755	3331	7.731	0.000	 V 			27.760	15326	9.788	0.000	0.171	1.011	0	0	0.000	0.000
53	12.904	12.832	13.040	19650	1771	11.093	0.000	 V 			28.151	4964	30.220	0.000	0.303	1.014	0	0	0.000	0.000
54	13.090	13.040	13.144	7168	1387	5.166	0.000	 V 			28.571	21219	7.069	0.000	0.340	1.015	0	0	0.000	0.000
55	13.280	13.144	13.368	10281	1338	7.684	0.000	 V 			28.999	83811	1.790	0.000	0.699	1.015	0	0	0.000	0.000
56	13.595	13.512	13.632	4297	1392	3.086	0.000	   			29.711	396593	0.378	0.000	2.337	1.025	0	0	0.000	0.000
57	13.695	13.632	13.776	13410	2178	6.157	0.000	 V 			29.938	62836	2.387	0.000	0.657	1.008	0	0	0.000	0.000
58	13.812	13.776	13.864	8902	2645	3.366	0.000	 V 			30.201	252863	0.593	0.000	0.711	1.009	0	0	0.000	0.000
59	13.952	13.864	14.000	6773	953	7.105	0.000	 V 			30.518	3067	48.911	0.000	0.251	1.010	0	0	0.000	0.000
60	14.052	14.000	14.168	12989	1836	7.075	0.000	 V 			30.745	39975	3.752	0.000	0.156	1.007	0	0	0.000	0.000
61	14.240	14.168	14.312	9349	1404	6.660	0.000	 V 			31.170	13291	11.286	0.000	0.485	1.014	0	0	0.000	0.000
62	14.369	14.312	14.424	6324	1145	5.522	0.000	 V 			31.460	36498	4.110	0.000	0.324	1.009	0	0	0.000	0.000
63	14.518	14.424	14.560	8710	2331	3.737	0.000	 V 			31.797	486998	0.308	0.000	0.777	1.011	0	0	0.000	0.000
64	14.608	14.560	14.656	13710	3290	4.168	0.000	   			32.001	99531	1.507	0.000	0.671	1.006	0	0	0.000	0.000
65	14.688	14.656	14.736	12439	2841	4.379	0.000	 V 			32.181	22311	6.723	0.000	0.276	1.006	0	0	0.000	0.000
66	14.800	14.736	14.864	18118	2448	7.401	0.000	 V 			32.434	16565	9.055	0.000	0.263	1.008	0	0	0.000	0.000
67	14.907	14.864	14.952	12761	2863	4.457	0.000	 V 			32.675	69436	2.160	0.000	0.311	1.007	0	0	0.000	0.000
68	15.061	14.952	15.096	23487	2974	7.898	0.000	 V 			33.023	11467	13.081	0.000	0.390	1.011	0	0	0.000	0.000
69	15.128	15.096	15.168	12399	3121	3.972	0.000	 V 			33.175	18785	7.985	0.000	0.134	1.005	0	0	0.000	0.000
70	15.256	15.168	15.480	66113	3313	19.956	0.000	 V 			33.464	2199	68.202	0.000	0.147	1.009	0	0	0.000	0.000
71	15.552	15.480	15.616	56262	11558	4.868	0.000	 V 			34.132	253645	0.591	0.000	0.415	1.020	0	0	0.000	0.000
72	15.654	15.616	15.720	38508	7816	4.927	0.000	 V 			34.363	98906	1.517	0.000	0.633	1.007	0	0	0.000	0.000
73	15.752	15.720	15.792	20742	5363	3.868	0.000	 V 			34.584	8816	17.014	0.000	0.225	1.006	0	0	0.000	0.000
74	15.862	15.792	15.944	43708	5107	8.558	0.000	 V 			34.832	2869	52.286	0.000	0.118	1.007	0	0	0.000	0.000
75	16.106	15.944	16.136	61402	5768	10.646	0.000	 V 			35.384	1829	82.000	0.000	0.182	1.016	0	0	0.000	0.000
76	16.264	16.136	16.320	65066	6158	10.566	0.000	 V 			35.741	0	0.000	0.000	0.000	1.010	0	0	0.000	0.000
77	16.593	16.320	16.792	197074	7321	26.920	0.000	 V 			36.485	67	2251.002	0.000	0.000	1.021	0	0	0.000	0.000
78	17.056	16.792	17.088	142222	8770	16.218	0.000	 V 			37.530	1	154554.014	0.000	0.012	1.029	0	0	0.000	0.000
79	17.216	17.088	17.232	81124	9736	8.333	0.000	 V 			37.892	0	0.000	0.000	0.000	1.010	0	0	0.000	0.000
80	17.336	17.232	17.368	84100	10655	7.893	0.000	 V 			38.163	127	1183.662	0.000	0.000	1.007	0	0	0.000	0.000
81	17.404	17.368	17.456	57086	10938	5.219	0.000	 V 			38.315	1007	149.019	0.000	0.016	1.004	0	0	0.000	0.000
82	17.478	17.456	17.576	79228	11023	7.187	0.000	 V 			38.483	135	1107.956	0.000	0.018	1.004	0	0	0.000	0.000
83	17.672	17.576	17.728	103432	11468	9.019	0.000	 V 			38.922	277	541.143	0.000	0.038	1.011	0	0	0.000	0.000
84	17.824	17.728	17.896	116988	11693	10.005	0.000	 V 			39.265	4	33625.478	0.000	0.008	1.009	0	0	0.000	0.000
85	17.936	17.896	18.144	181944	11998	15.164	0.000	 V 			39.518	152	987.547	0.000	0.006	1.006	0	0	0.000	0.000
86	18.176	18.144	18.216	55280	12861	4.298	0.000	 V 			40.060	184	813.775	0.000	0.043	1.014	0	0	0.000	0.000
87	18.239	18.216	18.376	122283	13660	8.952	0.000	 V 			40.203	1191	125.957	0.000	0.017	1.004	0	0	0.000	0.000
88	18.672	18.376	18.720	270221	14143	19.107	0.000	 V 			41.181	467	321.156	0.000	0.155	1.024	0	0	0.000	0.000
89	18.912	18.720	18.920	180256	15907	11.332	0.000	 V 			41.723	772	194.210	0.000	0.078	1.013	0	0	0.000	0.000
90	19.039	18.920	19.176	255537	16872	15.146	0.000	 V 			42.009	375	400.166	0.000	0.038	1.007	0	0	0.000	0.000
91	19.216	19.176	19.256	82859	17319	4.784	0.000	 V 			42.410	148	1013.455	0.000	0.035	1.010	0	0	0.000	0.000
92	19.328	19.256	19.360	111327	18052	6.167	0.000	 V 			42.663	322	465.450	0.000	0.021	1.006	0	0	0.000	0.000
93	19.467	19.360	19.504	161060	18919	8.513	0.000	 V 			42.976	871	172.178	0.000	0.040	1.007	0	0	0.000	0.000
94	19.536	19.504	19.600	109052	19063	5.721	0.000	 V 			43.133	387	387.181	0.000	0.021	1.004	0	0	0.000	0.000
95	19.800	19.600	19.984	453442	20064	22.600	0.000	 V 			43.729	499	300.512	0.000	0.070	1.014	0	0	0.000	0.000
96	20.083	19.984	20.128	177228	21123	8.390	0.000	 V 			44.368	23	6512.182	0.000	0.028	1.015	0	0	0.000	0.000
97	20.160	20.128	20.208	100397	21074	4.764	0.000	 V 			44.542	1404	106.834	0.000	0.008	1.004	0	0	0.000	0.000
98	20.237	20.208	20.280	90496	21213	4.266	0.000	 V 			44.715	2438	61.536	0.000	0.040	1.004	0	0	0.000	0.000
99	20.304	20.280	20.336	69915	20974	3.333	0.000	 V 			44.867	0	0.000	0.000	0.000	1.003	0	0	0.000	0.000
100	20.424	20.336	20.448	142249	21543	6.603	0.000	 V 			45.139	227	660.926	0.000	0.000	1.006	0	0	0.000	0.000
101	20.503	20.448	20.552	135784	21944	6.188	0.000	 V 			45.316	86	1750.000	0.000	0.011	1.004	0	0	0.000	0.000
102	20.584	20.552	20.624	94781	22146	4.280	0.000	 V 			45.500	1797	83.493	0.000	0.015	1.004	0	0	0.000	0.000
103	20.728	20.624	20.744	158029	22197	7.119	0.000	 V 			45.825	27	5498.957	0.000	0.016	1.007	0	0	0.000	0.000
104	20.799	20.744	20.856	150545	22581	6.667	0.000	 V 			45.987	191	784.395	0.000	0.007	1.004	0	0	0.000	0.000
105	20.880	20.856	20.928	98438	22917	4.295	0.000	 V 			46.169	0	10057627.285	0.000	0.000	1.004	0	0	0.000	0.000
106	20.936	20.928	20.976	66036	23030	2.867	0.000	 V 			46.295	404	371.067	0.000	0.000	1.003	0	0	0.000	0.000
107	21.002	20.976	21.064	121649	23225	5.238	0.000	 V 			46.445	864	173.648	0.000	0.019	1.003	0	0	0.000	0.000
108	21.162	21.064	21.216	214960	23788	9.036	0.000	 V 			46.806	1314	114.174	0.000	0.062	1.008	0	0	0.000	0.000
109	21.269	21.216	21.312	138180	24243	5.700	0.000	 V 			47.047	301	497.539	0.000	0.029	1.005	0	0	0.000	0.000
110	21.344	21.312	21.392	115637	24204	4.778	0.000	 V 			47.217	3	54775.853	0.000	0.003	1.004	0	0	0.000	0.000
111	21.445	21.392	21.472	118237	24908	4.747	0.000	 V 			47.445	1394	107.627	0.000	0.004	1.005	0	0	0.000	0.000
112	21.504	21.472	21.808	285554	25001	11.422	0.000	 V 			47.578	1975	75.955	0.000	0.028	1.003	0	0	0.000	0.000
113	22.624	21.840	22.720	136722	1432	95.489	0.000	   			50.108	11321	13.249	0.558	0.804	1.053	0	0	0.000	0.000
114	24.565	24.176	24.920	107572	4552	23.633	0.000	   			54.493	23647	6.343	0.950	2.606	1.088	0	0	0.000	0.000

[Compound Results(PDA)]
# of IDs	3
ID#	Name	R.Time	Area	Height	Conc.	Curve	3rd	2nd	1st	Constant	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	shorterSomething	0.000	0	0	0.000	Linear	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0	0	0.000	0.000
2	small-larger	0.000	0	0	0.000	Linear	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0	0	0.000	0.000
3	+96	0.000	0	0	0.000	Linear	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0	0	0.000	0.000

[PDA Multi Chromatogram(Ch1)]
# of Points	      6251
Interval(msec)	240
Start Time(min)	0
End Time(min)	25
Intensity Units	mAU
Intensity Multiplier	1
Type	MultiChrom
Wavelength(nm)	280
Bandwidth(nm)	4
R.Time (min)	Intensity
0.00000	0
0.00400	0
0.00800	0
0.01200	0
0.01600	0
0.02000	0
0.02400	0
0.02800	0
0.03200	0
0.03600	0
0.04000	0
0.04400	0
0.04800	-3
0.05200	-4
0.05600	-6
0.06000	-9
0.06400	-11
0.06800	-12
0.07200	-15
0.07600	-18
0.08000	-19
0.08400	-20
0.08800	-22
0.09200	-23
0.09600	-26
0.10000	-27
0.10400	-30
0.10800	-32
0.11200	-34
0.11600	-37
0.12000	-38
0.12400	-40
0.12800	-41
0.13200	-41
0.13600	-43
0.14000	-45
0.14400	-47
0.14800	-47
0.15200	-48
0.15600	-49
0.16000	-51
0.16400	-53
0.16800	-54
0.17200	-54
0.17600	-55
0.18000	-54
0.18400	-54
0.18800	-53
0.19200	-53
0.19600	-55
0.20000	-58
0.20400	-62
0.20800	-63
0.21200	-63
0.21600	-65
0.22000	-68
0.22400	-68
0.22800	-67
0.23200	-67
0.23600	-68
0.24000	-71
0.24400	-75
0.24800	-76
0.25200	-76
0.25600	-77
0.26000	-80
0.26400	-83
0.26800	-81
0.27200	-84
0.27600	-87
0.28000	-90
0.28400	-91
0.28800	-92
0.29200	-94
0.29600	-96
0.30000	-99
0.30400	-102
0.30800	-103
0.31200	-104
0.31600	-102
0.32000	-103
0.32400	-103
0.32800	-105
0.33200	-107
0.33600	-112
0.34000	-117
0.34400	-123
0.34800	-129
0.35200	-134
0.35600	-137
0.36000	-137
0.36400	-136
0.36800	-139
0.37200	-142
0.37600	-144
0.38000	-145
0.38400	-145
0.38800	-146
0.39200	-147
0.39600	-148
0.40000	-152
0.40400	-154
0.40800	-155
0.41200	-157
0.41600	-158
0.42000	-160
0.42400	-162
0.42800	-166
0.43200	-167
0.43600	-163
0.44000	-160
0.44400	-161
0.44800	-161
0.45200	-162
0.45600	-161
0.46000	-151
0.46400	-135
0.46800	-109
0.47200	-69
0.47600	-17
0.48000	45
0.48400	106
0.48800	152
0.49200	165
0.49600	144
0.50000	99
0.50400	41
0.50800	-23
0.51200	-83
0.51600	-139
0.52000	-190
0.52400	-234
0.52800	-268
0.53200	-292
0.53600	-305
0.54000	-310
0.54400	-309
0.54800	-309
0.55200	-309
0.55600	-309
0.56000	-310
0.56400	-312
0.56800	-313
0.57200	-313
0.57600	-314
0.58000	-317
0.58400	-318
0.58800	-319
0.59200	-319
0.59600	-319
0.60000	-320
0.60400	-322
0.60800	-323
0.61200	-324
0.61600	-326
0.62000	-324
0.62400	-320
0.62800	-320
0.63200	-325
0.63600	-332
0.64000	-341
0.64400	-352
0.64800	-362
0.65200	-366
0.65600	-363
0.66000	-353
0.66400	-337
0.66800	-319
0.67200	-301
0.67600	-286
